Name,RA,Dec,LensScore,VisualSelection
GRALJ133904.44+002222.34,204.768489,0.372872,1.591450651486714,0
GRALJ205129.34-154511.98,312.872265,-15.753329,1.5826045999999998,0
GRALJ083132.98+853626.05,127.887432,85.607236,1.582525610923768,0
GRALJ021058.62-103843.10,32.744233,-10.645305,1.5824191570281978,0
GRALJ130122.10+061320.32,195.342072,6.22231,1.5774629999999998,1
GRALJ021002.3-052655.87,32.509573,-5.448853,1.577044,0
GRALJ072831.59-073747.10,112.131625,-7.62975,1.5760176181793208,0
GRALJ083111.22+441650.11,127.796731,44.280585,1.57515823841095,0
GRALJ083134.25+853625.28,127.892706,85.607021,1.572665492693583,0
GRALJ062548.55-140445.02,96.452291,-14.079172,1.5694572,0
GRALJ015100.1-161006.75,27.750419,-16.16854,1.5685145999999999,0
GRALJ212903.17-160923.54,322.263209,-16.15654,1.5685108105341592,0
GRALJ095511.70+194112.99,148.798761,19.686942,1.568353950977326,0
GRALJ130252.51+175851.12,195.718783,17.980867,1.567013939221701,0
GRALJ003442.99-295520.62,8.679145,-29.922396,1.566465,0
GRALJ162331.03-192446.74,245.879305,-19.412985,1.5660496,0
GRALJ104023.15+323539.10,160.096451,32.594195,1.564450363318124,0
GRALJ154941.78+440457.20,237.424076,44.082555,1.5636956,0
GRALJ222908.71+322221.02,337.286281,32.372504,1.5634644,0
GRALJ100937.72-254930.22,152.407187,-25.82506,1.5627637704213462,0
GRALJ132951.43+055359.85,202.464296,5.899958,1.5623581806818638,0
GRALJ080002.72-005534.62,120.011318,-0.926283,1.5619962,0
GRALJ002021.24+111220.66,5.088504,11.20574,1.561812778313955,0
GRALJ081241.77+285408.71,123.174029,28.902418,1.561574757099151,0
GRALJ151947.10+414724.07,229.946248,41.79002,1.5613106,0
GRALJ083842.52-062738.93,129.677155,-6.460815,1.559981981913248,0
GRALJ041054.24-295233.76,62.726016,-29.876046,1.5598610639572141,0
GRALJ013439.76+045352.13,23.665662,4.897814,1.55962371826172,0
GRALJ090548.34+081749.31,136.451412,8.297031,1.559342056512833,0
GRALJ003813.89-192804.82,9.557875,-19.468006,1.5592311,0
GRALJ081416.28+511215.47,123.567817,51.204297,1.5592295,0
GRALJ124016.83+225319.03,190.070117,22.88862,1.5588758999999999,0
GRALJ052525.46-161746.10,81.356069,-16.29614,1.5586152000000002,0
GRALJ111123.37-213545.02,167.847369,-21.595838,1.5579794000000002,0
GRALJ205654.77-142726.85,314.228213,-14.457459,1.557319462299347,0
GRALJ084434.63-201021.77,131.144306,-20.172713,1.5572215000000003,0
GRALJ094645.05+063617.37,146.687692,6.604826,1.5571860000000002,0
GRALJ054234.14+365531.52,85.64223,36.925422,1.5570070999999999,0
GRALJ123834.75+475103.86,189.644788,47.851073,1.5566658,0
GRALJ022508.04+633859.61,36.283482,63.649892,1.5566632,0
GRALJ230425.71-262437.78,346.107142,-26.410495,1.5565203428268428,0
GRALJ213511.16+342057.90,323.796501,34.349416,1.55631305774053,0
GRALJ071050.42+203004.54,107.710071,20.50126,1.555899083614349,0
GRALJ005436.56-262904.91,13.652353,-26.484697,1.5548782,0
GRALJ045103.47+562636.78,72.764476,56.443551,1.554241,0
GRALJ120104.21-032409.02,180.267528,-3.402505,1.5541759000000002,0
GRALJ001914.06+452619.35,4.80858,45.438707,1.553871,0
GRALJ091801.3-282919.90,139.5054,-28.488862,1.553533375263215,0
GRALJ120150.21-121403.37,180.459207,-12.23427,1.5530629999999999,0
GRALJ104315.96-125433.57,160.816499,-12.909326,1.5530349,1
GRALJ145619.36+351651.09,224.080677,35.28086,1.552893439928691,0
GRALJ124900.75-110646.38,192.253136,-11.112884,1.552615205446879,0
GRALJ130003.55-263148.84,195.014809,-26.530235,1.5524265368779502,0
GRALJ094303.11+263557.71,145.762939,26.599365,1.5523190000000002,0
GRALJ191350.58+421841.15,288.460733,42.311431,1.5522858,0
GRALJ142221.55-265201.03,215.589788,-26.866952,1.551700353622436,0
GRALJ090220.61+040337.15,135.585855,4.06032,1.5515273,0
GRALJ093842.92+024556.42,144.678828,2.765671,1.5513427,0
GRALJ171018.07+354603.23,257.575298,35.767565,1.5510421395301832,0
GRALJ121853.11+165520.62,184.721296,16.922393,1.5506209532419852,0
GRALJ112749.23-060804.9,171.955105,-6.134693,1.5505727529525748,0
GRALJ130506.4-092829.01,196.276667,-9.474724,1.5505443999999997,0
GRALJ134038.29+041532.44,205.159535,4.259012,1.550511618455252,0
GRALJ044146.94-291802.6,70.445567,-29.300721,1.5503833999999999,0
GRALJ002159.83-190459.85,5.499293,-19.083291,1.5497874,0
GRALJ093842.88+024558.29,144.678677,2.766192,1.549591,0
GRALJ081858.38-055542.53,124.743242,-5.92848,1.5495856,0
GRALJ145649.66-113156.23,224.20693,-11.532287,1.5495584999999998,0
GRALJ111737.97+235537.48,169.408219,23.927077,1.5492048999999999,0
GRALJ090039.54+145715.58,135.164741,14.954328,1.548896,0
GRALJ004748.39-180946.72,11.951605,-18.162977,1.5475194,0
GRALJ145015.11-221328.49,222.562954,-22.22458,1.5474649,0
GRALJ122458.08-272008.5,186.242001,-27.335693,1.5474041,0
GRALJ100846.36+004619.82,152.193176,0.772173,1.5474009999999998,2
GRALJ150544.61-164759.53,226.435893,-16.799869,1.5470015,0
GRALJ204908.84+880016.73,312.286852,88.004649,1.54696943362554,0
GRALJ111124.75-290334.36,167.853122,-29.059544,1.5469240000000002,0
GRALJ054602.8+782144.06,86.511687,78.362238,1.546796580155691,0
GRALJ015137.34-173654.48,27.905596,-17.615133,1.5467442274093628,0
GRALJ135043.13-294341.56,207.679703,-29.728212,1.5461548,0
GRALJ164126.27+262442.56,250.359473,26.411822,1.5459293723106382,0
